ID;HTS;NRES;IFM;ILM;ICH;SEXO;AUTLIC;NSET;TVIA1;TVIA2;TVIA3;TVIA4;TVIA5;TVIA6;TVIA7;TVIA8;TVIA9;TCAM1;TCAM2;TCAM3;TCAM4;TCAM5;TCAM6;TCAM7;TCAM8;   ;TVIB1;TVIB2;TVIB3;TVIB4;TVIB5;TVIB6;TVIB7;TVIB8;TVIB9;D1;D2;TESP3;TESP4;TESP5;TESP6;TESP7;TESP8;TESP9;CTOT1;CTOT2;CTOT3;CTOT4;CTOT5;CTOT6;CTOT7;CTOT8;CTOT9;HORA;NOD1;NOD2;JEFH;NAUT;NEST;NTRAB;LTOT;TVIA6A;TVIA6M;TVIA7A;TVIA7M;TVIA8T;TVIA8M;TVIA9B;TVIA9M;DISP1;DISP2;DISP3;DISP4;DISP5;DISP6;DISP7;DISP8;DISP9;LasCondes
171;48;8;56000;27000;5;1;0;2;0;0;591;0;598;0;0;0;0;0;0;288;0;475;0;0;0;0;0;0;574;0;530;0;0;0;0;0;0;24;0;42;0;0;0;0;0;0;80;0;40;0;0;0;0;745;306;511;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
171;48;5;124000;124000;8;1;0,5;6;0;1028;1057;0;2208;0;2136;1090;1297;0;108;252;0;252;0;202;266;266;0;952;952;0;1825;0;2136;1090;1297;1;0;36;0;24;0;78;114;108;0;25;60;0;20;0;14;43;33;750;318;702;1;1;3;1;2;0;0;1368;768;322;768;529;768;0;1;1;0;1;0;1;1;1;1
172;48;3;45000;21000;9;0;0;3;0;0;0;0;902;0;0;727;728;0;0;0;0;367;0;0;569;569;0;0;0;0;893;0;0;727;728;0;0;0;0;12;0;0;216;204;0;0;0;0;40;0;0;52;62;745;404;511;0;0;0;2;0;0;0;0;0;91;636;92;636;0;0;0;0;1;0;0;1;1;0
172;45;5;200000;150000;5;1;0,5;8;980;980;973;0;1885;1130;1674;1074;1302;374;374;475;0;475;475;475;490;490;916;916;936;0;1698;1130;1674;1074;1302;0;1;60;0;18;78;78;138;96;145;23;60;0;20;48;14;38;33;740;322;702;1;2;0;3;4;362;768;906;768;306;768;534;768;1;1;1;0;1;1;1;1;1;1
173;50;7;35000;18000;5;0;0;3;0;0;448;125;394;0;0;0;0;0;0;281;994;223;0;0;0;0;0;0;448;125;402;0;0;0;0;0;0;24;120;54;0;0;0;0;0;0;80;11;40;0;0;0;0;800;212;106;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
173;45;3;180000;150000;1;1;1;6;573;573;802;0;1189;748;1454;0;0;288;288;821;0;821;475;475;0;0;535;535;691;0;929;748;1454;0;0;0;1;48;0;54;78;78;0;0;23;12;60;0;20;38;13;0;0;745;416;702;1;2;1;1;2;196;552;902;552;0;0;0;0;1;1;1;0;1;1;1;0;0;1
174;65;4;50000;50000;8;1;0;4;0;461;0;0;641;0;848;515;0;0;0;0;0;302;0;374;425;0;0;443;0;0;634;0;848;515;0;0;0;0;0;180;0;192;216;0;0;25;0;0;40;0;23;52;0;750;308;511;1;0;3;1;1;0;0;464;384;131;384;0;0;0;1;0;0;1;0;1;1;0;0
174;45;4;200000;150000;1;1;1;8;617;617;835;0;1229;659;775;660;744;324;324;493;0;493;475;475;508;508;577;577;720;0;960;659;775;660;744;0;1;48;0;54;78;78;125;114;22;11;60;0;20;38;13;43;33;800;408;702;1;2;2;2;2;107;552;223;552;108;552;192;552;1;1;1;0;1;1;1;1;1;1
175;44;2;35000;28000;5;0;0;3;0;0;0;0;863;0;0;607;778;0;0;0;0;295;0;0;497;526;0;0;0;0;855;0;0;607;778;0;0;0;0;180;0;0;216;660;0;0;0;0;40;0;0;65;65;740;308;512;1;0;0;2;0;0;0;0;0;175;432;406;372;0;0;0;0;1;0;0;1;1;0
175;40;6;60000;17000;7;1;0,66;6;0;768;959;0;2046;0;1715;1002;1164;0;324;720;0;720;0;360;734;734;0;784;864;0;1691;0;1715;1002;1164;0;1;36;0;24;0;78;114;108;0;17;60;0;20;0;13;43;33;800;318;702;0;2;0;3;3;0;0;947;768;234;768;396;768;0;1;1;0;1;0;1;1;1;1
